ID,Username,Pais,Pontos,Vitorias,Derrotas
3719,amoreno,Austria,3999,89,47
7507,gabrielle71,Guadeloupe,3994,22,39
2876,juliephillips,Austria,3987,29,15
9431,powellkara,Puerto Rico,3982,93,27
706,kvillarreal,Heard Island and McDonald Islands,3978,73,49
3021,mcclainkatherine,Malta,3975,52,13
2345,jason76,Turks and Caicos Islands,3972,34,40
8556,matthewreeves,Poland,3972,22,31
137,nmiller,French Polynesia,3971,12,26
3324,edelgado,Lesotho,3970,75,39
2957,kevinclark,Burundi,3950,54,35
4767,vjones,Norfolk Island,3949,27,26
2384,fheath,Ukraine,3947,96,19
9659,baldwinsherry,Argentina,3941,99,28
1506,daryl52,Madagascar,3934,89,12
8289,rodriguezsierra,Portugal,3928,66,45
4760,dyork,El Salvador,3924,97,34
3364,kellie42,Saint Vincent and the Grenadines,3923,54,48
6584,martinezlogan,Barbados,3921,33,32
8277,oconnelltiffany,Cayman Islands,3921,43,19
5097,brittanydrake,Qatar,3916,91,9
8228,bryanhamilton,Italy,3913,74,49
5135,malik37,Germany,3907,92,43
2518,johnsonmichael,Bermuda,3905,81,5
6580,alexander67,Botswana,3900,36,40
6628,courtney67,Belarus,3899,55,23
3804,madison97,Cook Islands,3899,94,19
2484,andersonjeremy,Pitcairn Islands,3894,88,37
5835,agomez,Lao People's Democratic Republic,3893,81,36
6489,wwilliams,New Zealand,3888,37,40
466,barnold,Moldova,3885,26,39
8665,gdavis,Kiribati,3881,74,10
3628,gwright,Australia,3880,91,10
3883,terrimoore,Greece,3871,84,41
2507,alfred40,Brunei Darussalam,3870,50,12
6776,aramirez,El Salvador,3869,66,49
9854,xmoran,Saint Barthelemy,3869,58,50
8037,thickman,Central African Republic,3866,73,35
8758,florescory,Rwanda,3862,95,28
3540,gary24,Saint Martin,3861,86,34
2995,joshua89,Turkmenistan,3860,62,45
645,smithcarlos,Estonia,3860,72,19
3140,lisa46,Belgium,3859,76,22
6337,millsmichael,Zimbabwe,3857,89,12
2372,josephvelasquez,United States Virgin Islands,3855,66,13
1588,sarahyang,Malaysia,3855,63,40
8648,wrightstephen,Uruguay,3853,62,27
6026,brentstein,Czech Republic,3849,41,40
4598,amy51,Aruba,3849,29,20
9443,max41,Finland,3837,51,40
2122,millerstacy,Sierra Leone,3834,60,27
1370,rebeccabailey,Saint Lucia,3833,10,21
1149,jreed,Serbia,3833,68,23
7398,annalopez,Sudan,3830,65,26
3315,ricetiffany,Guyana,3819,65,8
9087,xcunningham,Seychelles,3815,58,26
439,csolis,Benin,3802,58,39
1681,astark,Solomon Islands,3800,39,24
949,xclements,Sweden,3798,95,28
9923,rogersmarcus,Cayman Islands,3791,13,33
6278,bartonshannon,Palestinian Territory,3791,10,22
7933,courtneyberger,Oman,3789,46,8
9724,wilsontara,Christmas Island,3785,72,22
4419,jessica42,Christmas Island,3780,29,16
9788,stephanie81,Burkina Faso,3779,58,5
6294,ncook,Hong Kong,3779,77,34
3861,katrinaanderson,Macao,3773,19,21
9866,samuelcarter,Puerto Rico,3773,97,38
572,bromero,Guyana,3771,84,6
4229,jeffrey92,Honduras,3760,23,45
5310,howens,Guatemala,3760,35,26
7439,andersoncolin,Holy See (Vatican City State),3749,87,34
7,samuel87,British Indian Ocean Territory (Chagos Archipelago),3748,90,11
2378,troyrodriguez,Luxembourg,3748,48,14
4866,kevinzimmerman,Sri Lanka,3745,63,30
9497,juliehamilton,Bolivia,3743,74,22
942,ashleyhernandez,Greece,3739,65,32
5237,stephanie71,Bermuda,3737,94,26
111,georgetracy,Bouvet Island (Bouvetoya),3733,47,24
5861,taylorvictoria,Djibouti,3731,39,40
2461,wallaceheather,United Kingdom,3719,88,41
1202,joseph19,Holy See (Vatican City State),3708,93,24
5142,raymond43,Brazil,3705,60,18
8275,charlesschultz,Malta,3695,20,19
2356,hudsonamanda,Nauru,3693,49,17
9170,kathleenjackson,Serbia,3693,66,46
4109,jamesmichael,Guatemala,3692,81,46
1876,stephen00,Lesotho,3688,31,22
9638,ethompson,Myanmar,3686,80,28
8718,ymorgan,Macedonia,3683,80,15
6890,wellsdavid,China,3682,24,30
5111,george97,Switzerland,3679,90,12
2696,andersenthomas,France,3677,30,19
1668,michelle04,Isle of Man,3675,34,35
9906,tylerjohnson,Macao,3674,47,47
645,patricia12,Canada,3663,65,22
2484,pwilliams,United States Virgin Islands,3659,50,29
2855,ohunter,Rwanda,3657,10,34
9996,julie69,Iran,3655,76,35
2565,dominicturner,Lithuania,3655,24,31
7165,qvargas,Anguilla,3655,26,50
3449,sandovalamy,Isle of Man,3654,72,43
3721,ann44,British Virgin Islands,3649,82,35
3278,carlamoore,Cocos (Keeling) Islands,3646,38,5
5114,oscar98,French Polynesia,3644,33,9
4268,francisco53,Paraguay,3638,34,50
1104,cgrimes,Martinique,3634,25,16
1037,donna66,Barbados,3634,78,16
9257,james30,Germany,3633,19,15
1331,kennethkidd,Korea,3629,19,27
5546,urice,Czech Republic,3627,76,13
2141,tarabishop,Sao Tome and Principe,3624,40,43
4486,jonathan10,Australia,3621,13,43
5855,jonesjason,Estonia,3620,75,18
4217,rowejoel,Sudan,3616,96,9
7346,ellen86,Myanmar,3613,63,10
2560,farrelldebra,Seychelles,3611,97,39
109,joshua14,Guernsey,3609,32,12
3214,tanner82,New Caledonia,3607,83,12
1837,bbush,Western Sahara,3607,64,42
4057,smurray,Slovakia (Slovak Republic),3605,59,49
1863,jasonjohnson,Macedonia,3600,42,37
4768,russojacob,Senegal,3600,60,28
6279,stephenmadden,Estonia,3598,86,25
5071,garciarobert,Micronesia,3596,83,38
3390,angela36,Papua New Guinea,3595,84,20
8419,adrianabailey,Bhutan,3591,99,39
3533,randyallen,Gibraltar,3590,100,11
6380,martinkyle,San Marino,3584,49,14
8988,wellsdarrell,Slovenia,3580,63,17
8380,thorntonapril,Moldova,3568,80,16
7848,wgarrett,Austria,3567,85,15
9329,gibsonleonard,Gibraltar,3567,94,29
6627,melissa25,Madagascar,3566,38,11
6055,katelynmitchell,France,3566,10,7
1577,jeffreyanderson,Cape Verde,3558,11,37
4883,melissa86,Zimbabwe,3554,16,15
6017,erikarush,Holy See (Vatican City State),3554,94,32
5739,kellycarlos,Dominican Republic,3552,72,49
294,sarahjohnson,Taiwan,3549,56,16
7480,cheryl80,Papua New Guinea,3549,61,49
5340,harristonya,Italy,3549,57,16
7511,perezantonio,Germany,3549,100,27
4762,stephanie24,Armenia,3547,43,30
4167,henry35,Yemen,3544,22,34
957,gmaynard,Palau,3539,90,38
5074,lanesarah,Montserrat,3535,24,16
1717,desireebailey,Christmas Island,3535,22,33
9355,tracynelson,Libyan Arab Jamahiriya,3532,30,9
8920,williamsmatthew,Brunei Darussalam,3524,31,46
1547,acastaneda,Martinique,3524,20,22
5052,christopherbruce,Oman,3522,88,17
6161,reynoldsjessica,Liberia,3521,44,30
2584,cody64,El Salvador,3506,34,34
7960,vsullivan,Argentina,3503,82,11
801,kimberlyjames,United States of America,3502,44,39
384,bsmith,Cook Islands,3501,58,11
8328,cporter,Argentina,3499,53,29
8160,kpena,Netherlands,3498,14,40
6900,zroberts,Suriname,3496,15,45
4817,toni18,Oman,3493,74,9
148,nwilson,Saint Barthelemy,3492,36,36
9258,wolfscott,Cuba,3491,51,49
197,foxaaron,United States Virgin Islands,3489,52,23
4952,maldonadojohn,Liechtenstein,3488,19,25
6505,vbailey,Gibraltar,3479,34,48
4716,grahamtamara,Dominica,3478,83,32
7613,heather01,Lao People's Democratic Republic,3476,95,24
33,vmarshall,Netherlands,3469,57,46
7889,ryan25,United Arab Emirates,3468,65,20
9304,lynchdiane,Puerto Rico,3467,69,41
8463,lacey20,France,3466,21,30
9023,bruce43,British Virgin Islands,3463,61,31
3992,davisphillip,Kuwait,3456,60,34
7269,carriewolf,Palau,3448,46,35
6151,duranrobert,Tajikistan,3448,66,10
6588,tamarasmith,Saint Pierre and Miquelon,3444,39,31
1406,valerieboyd,Isle of Man,3442,50,39
7770,ronald85,Guinea,3436,72,12
8003,jamiejennings,Algeria,3433,10,46
9252,davisjeffrey,Puerto Rico,3424,87,32
3665,brandon08,French Guiana,3420,40,23
2309,susan79,Ecuador,3413,48,31
2522,jwilliams,Congo,3410,83,29
4707,keyemily,Ethiopia,3401,94,18
5355,fhenderson,Norfolk Island,3399,88,34
7269,jenna88,French Guiana,3396,29,48
6061,williamsyvette,Taiwan,3396,92,50
8200,zhuang,Svalbard & Jan Mayen Islands,3391,90,13
4111,ashleyatkinson,Philippines,3391,57,48
7945,mhoward,Chad,3380,63,27
3660,kevinperkins,Lebanon,3376,88,31
2346,josephanderson,France,3375,59,19
3293,wiseanthony,Sri Lanka,3373,42,27
9359,stephentaylor,Albania,3370,39,7
5696,rreed,Comoros,3360,34,32
1944,fowlershelia,Heard Island and McDonald Islands,3355,55,28
8121,angela66,Colombia,3355,34,48
1531,kennedyjames,British Indian Ocean Territory (Chagos Archipelago),3353,60,50
878,lkelly,Christmas Island,3350,84,26
5274,gentrygregory,Turkmenistan,3350,100,49
9675,jamesryan,Venezuela,3348,25,22
490,jamesrodgers,Falkland Islands (Malvinas),3348,43,48
9834,johnsoncaleb,United Kingdom,3345,68,9
5764,brian97,Macao,3340,59,16
4639,velasquezmegan,Greenland,3338,62,30
8566,chavezwilliam,Korea,3338,54,46
6792,egarcia,Solomon Islands,3337,63,46
1215,natasha43,Azerbaijan,3337,66,38
2859,qzavala,San Marino,3336,40,14
3241,luis11,Iceland,3331,16,34
6767,joelthomas,Congo,3329,39,30
2270,williamslaura,French Polynesia,3322,26,19
5080,bethwilliams,Belgium,3316,43,41
1988,qmartinez,Lebanon,3311,83,16
7422,wrightjames,Kiribati,3303,34,46
5903,lewismelissa,Cameroon,3301,85,13
9227,russellwilliams,Haiti,3299,93,39
2423,hallrachel,Puerto Rico,3298,80,45
941,clarence34,Czech Republic,3297,87,12
6136,noahwhitaker,Luxembourg,3294,56,5
3907,zunderwood,Luxembourg,3292,89,40
1936,zwarren,Trinidad and Tobago,3283,33,29
328,qruiz,Estonia,3279,53,16
1964,fitzgeraldvictor,Iceland,3271,32,50
4771,ssmith,Guam,3269,37,48
8600,robertroach,Madagascar,3265,76,40
1018,xfox,Ireland,3263,64,12
2254,awest,United Kingdom,3262,60,47
810,paulmiller,Czech Republic,3262,86,19
7730,perezrebecca,Tokelau,3253,66,35
9689,gibsonemily,Peru,3243,33,50
7736,ruizjoyce,Saint Kitts and Nevis,3241,90,18
4792,barbara53,Gabon,3239,82,6
534,donna23,China,3237,95,34
6154,vsalas,Saint Lucia,3234,12,32
5412,mccormickdeborah,Bahrain,3232,15,43
6120,tina34,Denmark,3232,51,50
539,dlittle,Equatorial Guinea,3231,58,7
2475,terrigarcia,Palestinian Territory,3230,15,17
9697,davissuzanne,Taiwan,3229,71,45
8778,dramsey,Uruguay,3226,17,44
5906,crawfordwilliam,Azerbaijan,3224,22,7
1490,derrick99,Dominican Republic,3220,30,49
6104,zhenderson,Belize,3220,32,42
8393,browndiana,American Samoa,3213,93,27
2680,whitney78,Honduras,3213,48,17
375,foxallison,Guyana,3212,57,17
6695,hernandezlisa,Yemen,3207,43,22
7431,brianromero,Thailand,3204,44,40
8275,robert18,Faroe Islands,3200,58,45
5021,pwalker,Israel,3195,38,37
5349,ghawkins,Ireland,3187,94,34
3465,cindy61,Timor-Leste,3186,83,23
1375,hebertmatthew,Korea,3185,37,21
2346,davidzimmerman,Reunion,3184,18,12
1361,flamb,United Kingdom,3184,69,11
4131,larryhiggins,Saint Martin,3182,92,36
3312,ldrake,Botswana,3181,82,36
5952,grodriguez,Eritrea,3180,84,25
6714,michael22,Monaco,3175,79,38
2791,gabrieltucker,Croatia,3172,67,34
85,evanslisa,Brazil,3166,78,17
9511,briansmith,Benin,3166,56,41
322,jack04,Wallis and Futuna,3164,44,30
5607,tinaallen,Hungary,3163,64,17
9523,pyoung,Georgia,3163,75,22
9870,ythompson,Marshall Islands,3160,39,8
9507,johnsondonna,New Zealand,3157,87,50
486,jenniferbrock,Malaysia,3148,47,41
1566,blakeerik,Jamaica,3142,18,41
2304,powellmatthew,Tokelau,3137,20,20
7773,lisawilkerson,Venezuela,3134,61,24
9928,perezwilliam,Aruba,3132,88,31
3415,scott69,Burkina Faso,3132,69,32
346,danielle64,Korea,3131,56,39
3752,garciamichael,French Southern Territories,3130,27,25
933,heatherthompson,Suriname,3130,39,35
2295,hdunn,Montenegro,3120,67,11
4059,longandrea,Liechtenstein,3118,80,13
6531,davidphelps,Cuba,3112,77,47
6044,caseyjones,Tokelau,3108,68,38
389,michaelcooper,Slovenia,3102,57,39
5117,herringjames,Angola,3101,87,26
490,jeffrey42,Slovakia (Slovak Republic),3101,10,16
1325,georgeweber,United Arab Emirates,3095,67,50
7754,jenniferwilliams,Haiti,3083,79,17
2350,chavezchelsea,Georgia,3083,72,32
430,ithomas,Egypt,3079,94,48
2468,ysnyder,Guernsey,3078,58,24
9275,kathleenbecker,Nauru,3075,94,10
8301,bradleypayne,Suriname,3074,100,30
4679,wwilson,Palestinian Territory,3073,27,33
7049,joshuacollins,Madagascar,3071,45,20
4253,davislindsey,Gabon,3069,77,14
7426,silvageorge,Niue,3062,29,23
2772,greenjorge,Kiribati,3059,48,36
3095,bellangela,Brazil,3056,35,38
6448,megan82,French Polynesia,3041,42,16
2532,igrant,Iceland,3039,64,16
8490,bakerjohn,Bangladesh,3035,56,28
7827,jenna62,Slovakia (Slovak Republic),3033,85,10
2125,michael77,Bolivia,3030,66,17
4170,byrdjorge,China,3014,28,21
3252,whitelucas,Sudan,3010,52,25
3520,michellecherry,Sudan,3009,37,10
8781,samuel81,Hungary,3006,55,9
2996,sarah52,India,3004,23,30
6643,baileymegan,Nicaragua,2998,82,5
2417,kimberly04,Costa Rica,2997,13,25
990,rgilbert,Antigua and Barbuda,2994,86,29
1676,blackjames,Dominican Republic,2991,33,32
8155,jennifermiller,Cape Verde,2991,13,23
2175,phelpsmichael,Philippines,2991,30,27
9858,velezchristopher,Montenegro,2989,89,13
433,esanchez,Sri Lanka,2987,54,12
5250,maypaul,Heard Island and McDonald Islands,2984,52,25
7690,joycesmith,Mexico,2983,77,31
7373,umorse,Montserrat,2981,31,17
4254,alexis39,Cambodia,2974,18,5
5616,austinharvey,Ecuador,2973,27,34
3898,laurahenderson,Bahrain,2971,15,40
595,colelisa,Pakistan,2970,78,25
3814,xcuevas,Congo,2969,29,5
2983,ndavis,Norway,2968,99,46
8198,juliawells,Eritrea,2968,53,17
1289,jeff73,Timor-Leste,2966,76,8
7370,vfox,Bahrain,2963,28,47
6236,hunter35,South Georgia and the South Sandwich Islands,2960,89,25
1193,ybrooks,Kiribati,2960,20,27
6263,jeremywiley,Georgia,2960,11,38
9727,kchavez,Heard Island and McDonald Islands,2957,38,50
3627,ejohnson,Dominica,2945,56,46
4822,avilatiffany,Kyrgyz Republic,2932,21,45
3826,danielcole,Germany,2922,32,31
8798,david96,Haiti,2921,25,9
9521,jonesgeorge,Honduras,2919,94,13
2390,todd15,El Salvador,2913,16,29
2912,sreid,Guinea-Bissau,2911,70,10
5265,nperry,Saudi Arabia,2903,75,33
9834,richarddavid,Mongolia,2902,54,27
626,brandonalvarez,Ethiopia,2902,43,5
4873,ruizkaitlyn,Austria,2897,60,20
3747,jsmith,Ireland,2897,50,36
8024,ashaw,Central African Republic,2894,68,25
1783,lori44,Taiwan,2891,23,12
3517,michelleramsey,Indonesia,2888,62,36
4071,levans,Japan,2886,16,16
5407,brianmiller,Jordan,2886,74,48
3079,bbell,Germany,2881,74,29
4293,torrestravis,Bhutan,2881,72,21
9196,elizabeth56,Qatar,2881,41,29
8286,lisahall,Singapore,2880,28,28
1512,markkline,Zimbabwe,2878,77,39
1510,raylauren,Martinique,2875,23,36
13,davidcolon,Holy See (Vatican City State),2874,73,13
7334,alexisrogers,French Polynesia,2870,65,50
6250,kristen77,Denmark,2866,30,20
493,crystalpham,South Africa,2864,27,33
4936,amberwebster,Singapore,2858,50,23
1425,brian29,Romania,2856,13,19
7746,rodriguezjohn,Papua New Guinea,2852,11,23
1799,daviddawson,Somalia,2850,82,42
7107,wsmith,French Southern Territories,2847,42,27
5093,joshua35,Bosnia and Herzegovina,2844,42,8
9318,nataliearroyo,Belize,2840,69,47
