Rodada;Tamanho;Algoritmo;Tempo (s);Memória (MB);Comparações;Trocas;Ranking;Cenário
1;1000;Bubble Sort;2,718585;0,0153;499500;245957;4;Aleatório
1;1000;Selection Sort;1,550971;0,0153;499500;992;3;Aleatório
1;1000;Merge Sort;0,073627;0,0281;8686;10000;2;Aleatório
1;1000;Quick Sort;0,054664;0,0154;10956;4902;1;Aleatório
2;1000;Bubble Sort;2,679382;0,0153;499500;245957;4;Aleatório
2;1000;Selection Sort;1,392167;0,0153;499500;992;3;Aleatório
2;1000;Merge Sort;0,078528;0,0281;8686;10000;2;Aleatório
2;1000;Quick Sort;0,057643;0,0154;10956;4902;1;Aleatório
3;1000;Bubble Sort;3,267805;0,0153;499500;245957;3;Aleatório
3;1000;Selection Sort;4,048978;0,0153;499500;992;4;Aleatório
3;1000;Merge Sort;0,304761;0,0281;8686;10000;2;Aleatório
3;1000;Quick Sort;0,19584;0,0154;10956;4902;1;Aleatório
4;1000;Bubble Sort;5,332659;0,0153;499500;245957;4;Aleatório
4;1000;Selection Sort;2,281595;0,0153;499500;992;3;Aleatório
4;1000;Merge Sort;0,175869;0,0281;8686;10000;2;Aleatório
4;1000;Quick Sort;0,119619;0,0154;10956;4902;1;Aleatório
5;1000;Bubble Sort;4,416862;0,0153;499500;245957;4;Aleatório
5;1000;Selection Sort;2,239998;0,0153;499500;992;3;Aleatório
5;1000;Merge Sort;0,112338;0,0281;8686;10000;2;Aleatório
5;1000;Quick Sort;0,112333;0,0154;10956;4902;1;Aleatório
6;1000;Bubble Sort;4,066317;0,0153;499500;245957;4;Aleatório
6;1000;Selection Sort;2,076321;0,0153;499500;992;3;Aleatório
6;1000;Merge Sort;0,150098;0,0281;8686;10000;2;Aleatório
6;1000;Quick Sort;0,084949;0,0154;10956;4902;1;Aleatório
7;1000;Bubble Sort;3,906876;0,0153;499500;245957;4;Aleatório
7;1000;Selection Sort;1,978722;0,0153;499500;992;3;Aleatório
7;1000;Merge Sort;0,140476;0,0281;8686;10000;2;Aleatório
7;1000;Quick Sort;0,112702;0,0154;10956;4902;1;Aleatório
8;1000;Bubble Sort;4,434991;0,0153;499500;245957;4;Aleatório
8;1000;Selection Sort;2,594143;0,0153;499500;992;3;Aleatório
8;1000;Merge Sort;0,134103;0,0281;8686;10000;2;Aleatório
8;1000;Quick Sort;0,090863;0,0154;10956;4902;1;Aleatório
9;1000;Bubble Sort;3,822758;0,0153;499500;245957;4;Aleatório
9;1000;Selection Sort;2,254811;0,0153;499500;992;3;Aleatório
9;1000;Merge Sort;0,122163;0,0281;8686;10000;2;Aleatório
9;1000;Quick Sort;0,114851;0,0154;10956;4902;1;Aleatório
10;1000;Bubble Sort;3,807497;0,0153;499500;245957;4;Aleatório
10;1000;Selection Sort;1,881333;0,0153;499500;992;3;Aleatório
10;1000;Merge Sort;0,155611;0,0281;8686;10000;2;Aleatório
10;1000;Quick Sort;0,085274;0,0154;10956;4902;1;Aleatório
1;1000;Bubble Sort;2,558193;0,0153;499500;0;4;Ordenado
1;1000;Selection Sort;1,46397;0,0153;499500;0;3;Ordenado
1;1000;Merge Sort;0,075341;0,0281;5132;10000;2;Ordenado
1;1000;Quick Sort;0,044273;0,0154;8046;565;1;Ordenado
2;1000;Bubble Sort;2,00119;0,0153;499500;0;4;Ordenado
2;1000;Selection Sort;1,439217;0,0153;499500;0;3;Ordenado
2;1000;Merge Sort;0,08305;0,0281;5132;10000;2;Ordenado
2;1000;Quick Sort;0,043145;0,0154;8046;565;1;Ordenado
3;1000;Bubble Sort;1,532435;0,0153;499500;0;3;Ordenado
3;1000;Selection Sort;1,542607;0,0153;499500;0;4;Ordenado
3;1000;Merge Sort;0,07416;0,0281;5132;10000;2;Ordenado
3;1000;Quick Sort;0,046587;0,0154;8046;565;1;Ordenado
4;1000;Bubble Sort;1,52838;0,0153;499500;0;4;Ordenado
4;1000;Selection Sort;1,415999;0,0153;499500;0;3;Ordenado
4;1000;Merge Sort;0,075079;0,0281;5132;10000;2;Ordenado
4;1000;Quick Sort;0,049313;0,0154;8046;565;1;Ordenado
5;1000;Bubble Sort;1,741961;0,0153;499500;0;4;Ordenado
5;1000;Selection Sort;1,419791;0,0153;499500;0;3;Ordenado
5;1000;Merge Sort;0,074319;0,0281;5132;10000;2;Ordenado
5;1000;Quick Sort;0,042844;0,0154;8046;565;1;Ordenado
6;1000;Bubble Sort;1,900547;0,0153;499500;0;4;Ordenado
6;1000;Selection Sort;1,420534;0,0153;499500;0;3;Ordenado
6;1000;Merge Sort;0,07067;0,0281;5132;10000;2;Ordenado
6;1000;Quick Sort;0,045879;0,0154;8046;565;1;Ordenado
7;1000;Bubble Sort;1,512682;0,0153;499500;0;4;Ordenado
7;1000;Selection Sort;1,434412;0,0153;499500;0;3;Ordenado
7;1000;Merge Sort;0,071555;0,0281;5132;10000;2;Ordenado
7;1000;Quick Sort;0,044456;0,0154;8046;565;1;Ordenado
8;1000;Bubble Sort;1,89896;0,0153;499500;0;4;Ordenado
8;1000;Selection Sort;1,380856;0,0153;499500;0;3;Ordenado
8;1000;Merge Sort;0,069842;0,0281;5132;10000;2;Ordenado
8;1000;Quick Sort;0,042353;0,0154;8046;565;1;Ordenado
9;1000;Bubble Sort;1,494713;0,0153;499500;0;4;Ordenado
9;1000;Selection Sort;1,382277;0,0153;499500;0;3;Ordenado
9;1000;Merge Sort;0,069724;0,0281;5132;10000;2;Ordenado
9;1000;Quick Sort;0,055993;0,0154;8046;565;1;Ordenado
10;1000;Bubble Sort;1,679864;0,0153;499500;0;4;Ordenado
10;1000;Selection Sort;1,411597;0,0153;499500;0;3;Ordenado
10;1000;Merge Sort;0,07173;0,0281;5132;10000;2;Ordenado
10;1000;Quick Sort;0,039769;0,0154;8046;565;1;Ordenado
1;1000;Bubble Sort;4,178401;0,0153;499500;499329;4;Pior Caso
1;1000;Selection Sort;1,386093;0,0153;499500;552;3;Pior Caso
1;1000;Merge Sort;0,068281;0,0281;4932;10000;2;Pior Caso
1;1000;Quick Sort;0,050271;0,0154;8466;4047;1;Pior Caso
2;1000;Bubble Sort;4,133966;0,0153;499500;499329;4;Pior Caso
2;1000;Selection Sort;1,616194;0,0153;499500;552;3;Pior Caso
2;1000;Merge Sort;0,098019;0,0281;4932;10000;2;Pior Caso
2;1000;Quick Sort;0,063195;0,0154;8466;4047;1;Pior Caso
3;1000;Bubble Sort;4,997518;0,0153;499500;499329;4;Pior Caso
3;1000;Selection Sort;1,84518;0,0153;499500;552;3;Pior Caso
3;1000;Merge Sort;0,094781;0,0281;4932;10000;2;Pior Caso
3;1000;Quick Sort;0,054784;0,0154;8466;4047;1;Pior Caso
4;1000;Bubble Sort;5,10692;0,0153;499500;499329;4;Pior Caso
4;1000;Selection Sort;1,61044;0,0153;499500;552;3;Pior Caso
4;1000;Merge Sort;0,098789;0,0281;4932;10000;2;Pior Caso
4;1000;Quick Sort;0,076971;0,0154;8466;4047;1;Pior Caso
5;1000;Bubble Sort;3,668452;0,0153;499500;499329;4;Pior Caso
5;1000;Selection Sort;1,58395;0,0153;499500;552;3;Pior Caso
5;1000;Merge Sort;0,087833;0,0281;4932;10000;2;Pior Caso
5;1000;Quick Sort;0,069344;0,0154;8466;4047;1;Pior Caso
6;1000;Bubble Sort;3,301653;0,0153;499500;499329;4;Pior Caso
6;1000;Selection Sort;1,36436;0,0153;499500;552;3;Pior Caso
6;1000;Merge Sort;0,072372;0,0281;4932;10000;2;Pior Caso
6;1000;Quick Sort;0,045634;0,0154;8466;4047;1;Pior Caso
7;1000;Bubble Sort;3,604043;0,0153;499500;499329;4;Pior Caso
7;1000;Selection Sort;1,435663;0,0153;499500;552;3;Pior Caso
7;1000;Merge Sort;0,070517;0,0281;4932;10000;2;Pior Caso
7;1000;Quick Sort;0,047343;0,0154;8466;4047;1;Pior Caso
8;1000;Bubble Sort;6,703367;0,0153;499500;499329;4;Pior Caso
8;1000;Selection Sort;2,993551;0,0153;499500;552;3;Pior Caso
8;1000;Merge Sort;0,178655;0,0281;4932;10000;2;Pior Caso
8;1000;Quick Sort;0,082488;0,0154;8466;4047;1;Pior Caso
9;1000;Bubble Sort;4,996463;0,0153;499500;499329;4;Pior Caso
9;1000;Selection Sort;1,974653;0,0153;499500;552;3;Pior Caso
9;1000;Merge Sort;0,102416;0,0281;4932;10000;2;Pior Caso
9;1000;Quick Sort;0,115757;0,0154;8466;4047;1;Pior Caso
10;1000;Bubble Sort;4,551397;0,0153;499500;499329;4;Pior Caso
10;1000;Selection Sort;2,014568;0,0153;499500;552;3;Pior Caso
10;1000;Merge Sort;0,103593;0,0281;4932;10000;2;Pior Caso
10;1000;Quick Sort;0,160413;0,0154;8466;4047;1;Pior Caso
